ID,Descripción,Tipo,Probabilidad,Impacto,Exposición,Estado,Abordaje,Acción Mitigación,Responsable Mitigación,Fecha Mitigación,Acción Contingencia,Responsable Contingencia,Fecha Contingencia,Disparador,Resultado
1,Dado que el equipo aún está en proceso de aprendizaje; pueden surgir dificultades técnicas que generen retrasos.,Personas,Media,Alto,6,Mitigado,Reducir,Apoyarse en la documentación; dividir tareas según fortalezas; consultar dudas con docentes.,equipo,lunes 23-06-2025,Priorizar lo esencial y dejar lo accesorio si falta tiempo.,equipo,jueves 07-08-2025,Bloqueos en desarrollo / errores recurrentes,Surgieron dificultades que fueron abordadas en su momento por medio de investigación y priorización
2,Dado que el sistema se desarrolla como forma de aprendizaje; puede no contemplar todos los casos de uso reales esperados por un cliente futuro.,Proyecto,Media,Medio,4,Mitigado,Asumir,Documentar claramente qué está dentro y fuera del alcance desde el inicio.,equipo,Miercoles 07-08-2025,Aclarar límites del sistema durante la defensa.,equipo,Fecha a definir,Reclamos por falta de funcionalidades,La acción de mitigación se llevará a cabo en la defensa de la instancia del EXAMEN
3,Dado que el sistema no ha sido probado a fondo; podrían existir errores críticos en funcionalidades clave.,Tecnico,Alta,Alto,9,Cerrado,Reducir,Diseñar y ejecutar pruebas funcionales en los módulos clave.,equipo,lunes 23-06-2025,Corregir errores y reentregar si es posible.,equipo,jueves 07-08-2025,Errores detectados en módulos principales,Se generaron mejoras y se hizo una re entrega del proyecto
4,Dado que no fue testeado con usuarios reales; podría no ser suficientemente intuitivo o usable.,Producto,Media,Alto,6,Mitigado,Reducir,Realizar pruebas de usabilidad internas o con usuarios simulados.,equipo,lunes 23-06-2025,Incluir guía de uso o instrucciones.,equipo,Fecha a definir,Comentarios de confusión en la demo,Se probó la usabilidad del proyecto
5,Dado que no está optimizado; el sistema puede volverse lento o inestable con muchos datos.,Producto,Media,Medio,4,Cerrado,Reducir,Limitar volumen de datos en pruebas y monitorear recursos.,equipo,Miercoles 07-08-2025,Optimizar consultas o reducir carga.,equipo,jueves 07-08-2025,Sistema lento o cuelgues,Se limitó el volumen de datos y se buscó utilizar dispositivos que nuestras maquinas soportaran
6,Dado que el sistema no cuenta con backups automáticos; si se pierde la base de datos se perdería toda la información.,Tecnico,Alta,Alto,9,Cerrado,Reducir,Implementar backups manuales semanales durante el desarrollo.,equipo,Semanalmente. Antes del 23-06-2025,Reconstruir datos desde documentación o repetir carga.,equipo,NA,Fallo del sistema / pérdida de datos,No fue necesario su mitigación. El proyecto no manejaba datos sensibles de producción.
7,Dado que la conexión entre backend y base de datos no fue testeada con múltiples consultas simultáneas; puede fallar bajo carga.,Tecnico,Media,Alto,6,Mitigado,Reducir,Hacer pruebas con datos de prueba concurrentes y revisar logs.,equipo,lunes 23-06-2025,Reducir consultas simultáneas y ajustar la configuración de conexión.,equipo,miercoles 06-08-2025,Fallo del sistema,El sistema soporta las consultas que el equipo llevo a cabo
8,Dado que el equipo depende de herramientas externas para el diseño y ejecución de casos de prueba y para el reporte de defectos; se pierde independencia y control sobre estas herramientas.,Tecnico,Alta,Alto,9,Mitigado,Reducir,Contar con respaldo de los casos de pruebas y un reporte de las ejecuciones de forma semanal,equipo,Semanalmente,Reducir la dependencia a las herramientas que no son propias.,equipo,sábado 27-09-2025,No disponibilidad de las herramientas,Las herramientas se mantienen estables.
9,Dado que el equipo es reducido; si un integrante se retira o no participa más; se puede sobrecargar al resto.,Personas,Baja,Alto,3,Mitigado,Reducir,Documentar todas las tareas y decisiones; y compartir avances periódicamente.,equipo,NA,Redistribuir tareas entre los miembros activos y ajustar el alcance si es necesario.,equipo,domingo 29-06-2025,Ausencia / falta de respuesta,El equipo de trabajo sufrió una baja.
10,Dado que puede haber malentendidos con el docente respecto al alcance o requerimientos; el proyecto puede ser mal evaluado.,Proyecto,Media,Alto,6,Mitigado,Reducir,Validar con el docente los requerimientos y criterios de evaluación antes de la entrega.,equipo,lunes 23-06-2025,Dejar documentado qué se cubre y justificar decisiones en la defensa.,equipo,Fecha a definir,Requerimientos ambiguos / dudas no aclaradas,Se tomaron en cuenta los criterios de evaluación por medio de la rúbrica docente
11,Dado que puede fallar el entorno o el equipo durante la defensa; no se podría mostrar el sistema correctamente.,Externo,Media,Alto,6,Mitigado,Reducir,Probar el sistema antes en el dispositivo que se usará.,equipo,lunes 21-07-2025,Continuar con explicación teórica y mostrar el video o capturas si no se puede ejecutar en vivo.,equipo,Fecha a definir,Falla de pc o red.,No fue necesario llevar a cabo la contingencia. No hubieron fallos.
12,Dado que pueden surgir errores inesperados durante el desarrollo; se puede retrasar la entrega del sistema.,Producto,Media,Alto,6,Mitigado,Reducir,Realizar revisiones frecuentes del código y pruebas constantes para detectar errores tempranos.,equipo,Tarea diaria hasta el 24-07-2025,Reorganizar tareas y priorizar entregables mínimos viables si se producen demoras.,equipo,Periodo de 05-08-2025 - 07-08-2025,Aparecen errores nuevos cerca de la fecha de entrega,Se priorizó la implementación de mejoras
13,Dado que se trabaja bajo presión de tiempo; es posible que no se cubran todos los casos del sistema.,Organizacional,Alta,Medio,6,Mitigado,Reducir,Enfocar los esfuerzos de prueba en funcionalidades clave y aquellas que manejen datos críticos o validaciones importantes. Evitar duplicar pruebas en funciones similares.,equipo,lunes 23-06-2025,En caso de que se detecte un error en un caso no contemplado; documentarlo claramente y dejarlo registrado como mejora o pendiente técnico. Evaluar si es posible corregirlo sin afectar el resto del sistema.,equipo,Antes de ambas instancias de entrega.,Comportamientos inesperados durante el uso real.,Se priorizaron los esfuerzos de prueba
