Suite de Pruebas,Caso de Prueba,Prioridad,Build Version 1,Asignado a,Fecha,Testeado por,Notas,Duración de la ejecución (min),Última Build Version 1,Exec Notes for Latest (created) Build,Última Ejecución,Notas (última ejec.)
Módulo Cliente,CP-28:Dar de alta un cliente con datos de entrada válidos,Media,Pasado [v1],Equipo QA,2023-09-07 14:14:40,Equipo QA,La prueba paso de manera exitosa,Pasado [v1],La prueba paso de manera exitosa,Pasado [v1],La prueba paso de manera exitosa,
Módulo Cliente,CP-29:Cancelar el alta de un nuevo cliente,Media,Fallado [v1],Equipo QA,2023-09-07 22:49:39,Equipo QA,Al presionar cancelar la ventana de datos del cliente se cierra sin dar ninguna confirmación de la acción ejecutada.,Fallado [v1],Al presionar cancelar la ventana de datos del cliente se cierra sin dar ninguna confirmación de la acción ejecutada.,Fallado [v1],Al presionar cancelar la ventana de datos del cliente se cierra sin dar ninguna confirmación de la acción ejecutada.,
Módulo Cliente,CP-30:Ingresar en el campo nombre una entrada no válida.,Media,Fallado [v1],Equipo QA,2023-09-07 23:02:20,Equipo QA,,Fallado [v1],Fallado [v1],,,
Módulo Cliente,CP-31:Ingresar en el campo apellido una entrada no válida.,Media,Fallado [v1],Equipo QA,2023-09-07 23:10:46,Equipo QA,,Fallado [v1],Fallado [v1],,,
Módulo Cliente,CP-32:Ingresar en el campo Cédula una entrada no válida.,Media,Fallado [v1],Equipo QA,2023-09-07 23:37:23,Equipo QA,En la tercera parte del CP notamos que si bien el registro no se completó exitosamente el mensaje de error no es el correcto.,Fallado [v1],En la tercera parte del CP notamos que si bien el registro no se completó exitosamente el mensaje de error no es el correcto.,Fallado [v1],En la tercera parte del CP notamos que si bien el registro no se completó exitosamente el mensaje de error no es el correcto.,
Módulo Cliente,CP-57:Dar de alta a un cliente con campos vacios,Media,Pasado [v1],Equipo QA,2023-09-09 02:16:36,Equipo QA,,Pasado [v1],Pasado [v1],,,
Módulo Cliente,CP-62:Comprobar que las ventanas y los mensajes del usuario estén escritos correctamente,Media,No Ejecutado [v1],,,,No Ejecutado [v1],No Ejecutado [v1],,,
Módulo Mascota/Nueva Mascota,CP-33:Dar de alta una mascota con datos de entrada válidos,Media,Pasado [v1],Equipo QA,2023-09-07 23:47:06,Equipo QA,,Pasado [v1],Pasado [v1],,,
Módulo Mascota/Nueva Mascota,CP-34:Ingresar en el campo Nro Patente una entrada no válida.,Media,Fallado [v1],Equipo QA,2023-09-08 00:10:02,Equipo QA,Persiste en todos los casos el error de tipeo en el mensaje de registro exitoso donde muestra la palabra mascto en lugar de mascota.,Fallado [v1],Persiste en todos los casos el error de tipeo en el mensaje de registro exitoso donde muestra la palabra mascto en lugar de mascota.,Fallado [v1],Persiste en todos los casos el error de tipeo en el mensaje de registro exitoso donde muestra la palabra mascto en lugar de mascota.,
Módulo Mascota/Nueva Mascota,CP-35:Ingresar en el campo Nombre una entrada no válida,Media,Fallado [v1],Equipo QA,2023-09-08 00:23:21,Equipo QA,Persiste en todos los casos el error de tipeo en el mensaje de registro exitoso donde muestra la palabra mascto en lugar de mascota.,Fallado [v1],Persiste en todos los casos el error de tipeo en el mensaje de registro exitoso donde muestra la palabra mascto en lugar de mascota.,Fallado [v1],Persiste en todos los casos el error de tipeo en el mensaje de registro exitoso donde muestra la palabra mascto en lugar de mascota.,
Módulo Mascota/Nueva Mascota,CP-36:Ingresar en el campo Edad una entrada no válida,Media,Fallado [v1],Equipo QA,2023-09-08 20:15:28,Equipo QA,,Fallado [v1],Fallado [v1],,,
Módulo Mascota/Nueva Mascota,CP-37:Verificar que el comboBox Cliente figuren los clientes correspondientes.,Media,Pasado [v1],Equipo QA,2023-09-08 20:17:15,Equipo QA,,Pasado [v1],Pasado [v1],,,
Módulo Mascota/Nueva Mascota,CP-38:Cancelar el alta de una nueva mascota,Media,Fallado [v1],Equipo QA,2023-09-08 20:23:02,Equipo QA,No se adjunta archivo de imagen dado que el programa simplemente cierra la ventana sin cambios por lo que queda visible la presentación del inicio del programa.,Fallado [v1],No se adjunta archivo de imagen dado que el programa simplemente cierra la ventana sin cambios por lo que queda visible la presentación del inicio del programa.,Fallado [v1],No se adjunta archivo de imagen dado que el programa simplemente cierra la ventana sin cambios por lo que queda visible la presentación del inicio del programa.,
Módulo Mascota/Nueva Mascota,CP-39:Verificar que el comboBox Tipo figuren los tipos de mascotas,Media,Pasado [v1],Equipo QA,2023-09-08 20:28:54,Equipo QA,,Pasado [v1],Pasado [v1],,,
Módulo Mascota/Nueva Mascota,CP-58:Dar de alta a una mascota con campos vacios,Media,Pasado [v1],Equipo QA,2023-09-09 02:19:17,Equipo QA,,Pasado [v1],Pasado [v1],,,
Módulo Mascota/Nueva Mascota,CP-66:Comprobar que las ventanas y los mensajes del usuario estén escritos correctamente,Alta,No Ejecutado [v1],,,,No Ejecutado [v1],No Ejecutado [v1],,,
Módulo Mascota/Listado de Mascotas,CP-40:Ingresar un Nro de patente existente,Media,Pasado [v1],Equipo QA,2023-09-08 20:37:24,Equipo QA,,Pasado [v1],Pasado [v1],,,
Módulo Mascota/Listado de Mascotas,CP-41:Ingresar un número de patente existente y filtrar por un tipo válido,Media,Pasado [v1],Equipo QA,2023-09-08 20:52:11,Equipo QA,,Pasado [v1],Pasado [v1],,,
Módulo Mascota/Listado de Mascotas,CP-42:Ingresar un número de patente existente y un tipo inexistente,Media,Pasado [v1],Equipo QA,2023-09-08 21:00:59,Equipo QA,,Pasado [v1],Pasado [v1],,,
Módulo Mascota/Listado de Mascotas,CP-67:Ingresar un número de patente inexistente.,Alta,No Ejecutado [v1],,,,No Ejecutado [v1],No Ejecutado [v1],,,
Módulo Mascota/Listado de Mascotas,CP-68:Comprobar que las ventanas y los mensajes del usuario estén escritos correctamente,Media,No Ejecutado [v1],,,,No Ejecutado [v1],No Ejecutado [v1],,,
Módulo Veterinario/Nuevo Veterinario,CP-43:Dar de alta un Veterinario,Media,Pasado [v1],Equipo QA,2023-09-08 21:08:55,Equipo QA,,Pasado [v1],Pasado [v1],,,
Módulo Veterinario/Nuevo Veterinario,CP-44:Cancelar el alta de un veterinario,Media,Fallado [v1],Equipo QA,2023-09-08 21:10:21,Equipo QA,No se adjunta archivo de imagen dado que el programa simplemente cierra la ventana sin cambios por lo que queda visible la presentación del inicio del programa.,Fallado [v1],No se adjunta archivo de imagen dado que el programa simplemente cierra la ventana sin cambios por lo que queda visible la presentación del inicio del programa.,Fallado [v1],No se adjunta archivo de imagen dado que el programa simplemente cierra la ventana sin cambios por lo que queda visible la presentación del inicio del programa.,
Módulo Veterinario/Nuevo Veterinario,CP-45:Ingresar un código inválido,Media,Fallado [v1],Equipo QA,2023-09-08 21:16:34,Equipo QA,,Fallado [v1],Fallado [v1],,,
Módulo Veterinario/Nuevo Veterinario,CP-46:Ingresar un nombre inválido,Media,Fallado [v1],Equipo QA,2023-09-08 21:37:48,Equipo QA,,Fallado [v1],Fallado [v1],,,
Módulo Veterinario/Nuevo Veterinario,CP-47:Ingresar una CI inválida,Media,Fallado [v1],Equipo QA,2023-09-08 21:51:00,Equipo QA,,Fallado [v1],Fallado [v1],,,
Módulo Veterinario/Nuevo Veterinario,CP-59:Dar de alta un veterinario con campos vacios,Media,Pasado [v1],Equipo QA,2023-09-09 02:21:32,Equipo QA,,Pasado [v1],Pasado [v1],,,
Módulo Veterinario/Nuevo Veterinario,CP-60:Verificar que en el comboBox Especialidad figuren las especialidades correspondientes.,Media,Pasado [v1],Equipo QA,2023-09-09 02:22:40,Equipo QA,,Pasado [v1],Pasado [v1],,,
Módulo Veterinario/Nuevo Veterinario,CP-69:Comprobar que las ventanas y los mensajes del usuario estén escritos correctamente,Media,No Ejecutado [v1],,,,No Ejecutado [v1],No Ejecutado [v1],,,
Módulo Consulta/Nueva Consulta,CP-48:Dar de alta una consulta,Media,Bloqueado [v1],Equipo QA,2023-09-09 00:14:37,Equipo QA,No se pueden realizar las pruebas dado que el elemento Nueva Consulta no se ejecuta correctamente para poder realizar los test correspondientes. Se adjunta screenshot de la aplicación.,Bloqueado [v1],No se pueden realizar las pruebas dado que el elemento Nueva Consulta no se ejecuta correctamente para poder realizar los test correspondientes. Se adjunta screenshot de la aplicación.,Bloqueado [v1],No se pueden realizar las pruebas dado que el elemento Nueva Consulta no se ejecuta correctamente para poder realizar los test correspondientes. Se adjunta screenshot de la aplicación.,
Módulo Consulta/Nueva Consulta,CP-49:Ingresar el número de patente inválido,Media,Bloqueado [v1],Equipo QA,2023-09-09 00:15:56,Equipo QA,No se pueden realizar las pruebas dado que el elemento Nueva Consulta no se ejecuta correctamente para poder realizar los test correspondientes. Se adjunta screenshot de la aplicación.,Bloqueado [v1],No se pueden realizar las pruebas dado que el elemento Nueva Consulta no se ejecuta correctamente para poder realizar los test correspondientes. Se adjunta screenshot de la aplicación.,Bloqueado [v1],No se pueden realizar las pruebas dado que el elemento Nueva Consulta no se ejecuta correctamente para poder realizar los test correspondientes. Se adjunta screenshot de la aplicación.,
Módulo Consulta/Nueva Consulta,CP-50:Verificar que la fecha de ingreso sea mayor a la actual no permita ingreso.,Media,Bloqueado [v1],Equipo QA,2023-09-09 00:16:33,Equipo QA,No se pueden realizar las pruebas dado que el elemento Nueva Consulta no se ejecuta correctamente para poder realizar los test correspondientes. Se adjunta screenshot de la aplicación.,Bloqueado [v1],No se pueden realizar las pruebas dado que el elemento Nueva Consulta no se ejecuta correctamente para poder realizar los test correspondientes. Se adjunta screenshot de la aplicación.,Bloqueado [v1],No se pueden realizar las pruebas dado que el elemento Nueva Consulta no se ejecuta correctamente para poder realizar los test correspondientes. Se adjunta screenshot de la aplicación.,
Módulo Consulta/Nueva Consulta,CP-51:Cancelar el alta de una consulta,Media,Bloqueado [v1],Equipo QA,2023-09-09 00:17:03,Equipo QA,No se pueden realizar las pruebas dado que el elemento Nueva Consulta no se ejecuta correctamente para poder realizar los test correspondientes. Se adjunta screenshot de la aplicación.,Bloqueado [v1],No se pueden realizar las pruebas dado que el elemento Nueva Consulta no se ejecuta correctamente para poder realizar los test correspondientes. Se adjunta screenshot de la aplicación.,Bloqueado [v1],No se pueden realizar las pruebas dado que el elemento Nueva Consulta no se ejecuta correctamente para poder realizar los test correspondientes. Se adjunta screenshot de la aplicación.,
Módulo Consulta/Nueva Consulta,CP-70:Comprobar que las ventanas y los mensajes del usuario estén escritos correctamente,Media,No Ejecutado [v1],,,,No Ejecutado [v1],No Ejecutado [v1],,,
